장소,발생건수
고속도로,0.0004535448400977887
공사장광산,0.0038717242447372205
공장,0.0008407172645715108
공지,1.1062069270677773e-05
구금장소,8.849655416542218e-05
금융기관,0.007168220887399197
기타,0.18027854290423567
기타교통수단내,0.01470149006073076
노상,0.3243398710162723
단독주택,0.08745671965397847
부대,6.637241562406664e-05
사무실,0.01803117291120477
산야,0.0005973517406165997
상점,0.11677120322127457
숙박업소목욕탕,0.010840827885264217
"시장,노점",0.005022179448887709
"아파트,연립다세대",0.1081980995364993
"역,대합실",0.01186960032743725
유원지,0.010641710638392018
유흥접객업소,0.0656976293985553
의료기관,0.007179282956669875
종교기관,0.001891613845285899
지하철,0.01689177977632496
창고,0.0011172689963384551
학교,0.0047345656478500866
해상,0.0
흥행장,0.0012389517583159106
